image-uri,image-id,product-set-id,product-id,product-category,product-display-name,labels,bounding-poly
http://img.bbystatic.com/BestBuy_US/images/products/4591/4591400_sa.jpg,,products,4591400,general-v1,Misfit - Flash Activity Trackers (2-Pack) - Reef/Fuchsia,,
http://img.bbystatic.com/BestBuy_US/images/products/4591/4591600_sa.jpg,,products,4591600,general-v1,"BDI - Vertica Media Cabinet for Most Flat-Panel TVs up to 82"" - Satin White",,
http://img.bbystatic.com/BestBuy_US/images/products/4591/4591601_sa.jpg,,products,4591601,general-v1,"BDI - Vertica Tall Media Cabinet for Most Flat-Panel TVs up to 80"" - Chocolate Stained Walnut",,
http://img.bbystatic.com/BestBuy_US/images/products/4591/4591602_sa.jpg,,products,4591602,general-v1,"BDI - Vertica Tall Media Cabinet for Most Flat-Panel TVs up to 80"" - Satin White",,
http://img.bbystatic.com/BestBuy_US/images/products/4591/4591605_sa.jpg,,products,4591605,general-v1,"BDI - Vertica Media Cabinet for Most Flat-Panel TVs up to 82"" - Chocolate Stained Walnut",,
http://img.bbystatic.com/BestBuy_US/images/products/4591/4591801_sa.jpg,,products,4591801,general-v1,"LG - G Pad F 8.0 - 8"" - Tablet - 16GB - Wi-Fi + 4G LTE AT&T - Titan Black",,
http://img.bbystatic.com/BestBuy_US/images/products/4592/4592004_sa.jpg,,products,4592004,general-v1,Global Air - Infrared Quartz Heater - Black,,
http://img.bbystatic.com/BestBuy_US/images/products/4592/4592005_sa.jpg,,products,4592005,general-v1,Global Air - Infrared Quartz Heater - Black,,
http://img.bbystatic.com/BestBuy_US/images/products/4592/4592801_sa.jpg,,products,4592801,general-v1,BLU - Win HD 4G with 8GB Memory Cell Phone (Unlocked) - Gray,,
http://img.bbystatic.com/BestBuy_US/images/products/4592/4592900_sa.jpg,,products,4592900,general-v1,CyberPowerPC - Gamer Ultra Desktop - AMD FX-Series - 16GB Memory - 2TB Hard Drive - Black/Blue,,
http://img.bbystatic.com/BestBuy_US/images/products/4592/4592916_sa.jpg,,products,4592916,general-v1,Motorola - 53727 PTT Earset - Black,,
http://img.bbystatic.com/BestBuy_US/images/products/4593/4593000_sa.jpg,,products,4593000,general-v1,CyberPowerPC - Gamer Ultra Desktop - AMD FX-Series - 8GB Memory - 1TB Hard Drive - Black/Blue,,
http://img.bbystatic.com/BestBuy_US/images/products/4593/4593100_sa.jpg,,products,4593100,general-v1,Philips - izzy Wireless Bluetooth Speaker - Black,,
http://img.bbystatic.com/BestBuy_US/images/products/4593/4593600_sa.jpg,,products,4593600,general-v1,Armpocket - Mega i-40 Armband Case for Most Cell Phones - Black/Silver,,
http://img.bbystatic.com/BestBuy_US/images/products/4594/4594023_rc.jpg,,products,4594023,general-v1,Belkin - Armband Case for Apple® iPhone® 6 and 6s - Black,,
http://img.bbystatic.com/BestBuy_US/images/products/4594/4594362_sa.jpg,,products,4594362,general-v1,Metra - Antenna Adapter for Select European Vehicles - Black,,
http://img.bbystatic.com/BestBuy_US/images/products/4595/4595000_sa.jpg,,products,4595000,general-v1,Lyrix - Rush Portable Bluetooth Speaker - Gold,,
http://img.bbystatic.com/BestBuy_US/images/products/4595/4595007_sa.jpg,,products,4595007,general-v1,Brother - Label Maker - White/Gray,,
http://img.bbystatic.com/BestBuy_US/images/products/4595/4595022_sa.jpg,,products,4595022,general-v1,Moshi - iGlaze Armour Case for Apple® iPhone® 6 Plus and 6s Plus - Gunmetal Gray,,
http://img.bbystatic.com/BestBuy_US/images/products/4595/4595023_sa.jpg,,products,4595023,general-v1,Korner - Home Security Sensors (3-Pack) - White,,
http://img.bbystatic.com/BestBuy_US/images/products/4595/4595033_sa.jpg,,products,4595033,general-v1,Korner - Home Security Add-On Sensor - White,,
http://img.bbystatic.com/BestBuy_US/images/products/4595/4595034_sa.jpg,,products,4595034,general-v1,Korner - Home Security Sensor - White,,
http://img.bbystatic.com/BestBuy_US/images/products/4595/4595036_sa.jpg,,products,4595036,general-v1,Korner - Home Security Extender - White/Blue,,
http://img.bbystatic.com/BestBuy_US/images/products/4595/4595042_rc.jpg,,products,4595042,general-v1,Case-Mate - Naked Tough Bumper for Apple Watch™ 38mm - Clear,,
http://img.bbystatic.com/BestBuy_US/images/products/4595/4595045_sa.jpg,,products,4595045,general-v1,eVGA - NVIDIA GeForce GTX 980 Ti 6GB GDDR5 PCI Express 3.0 Graphics Card - Black,,
http://img.bbystatic.com/BestBuy_US/images/products/4595/4595047_sa.jpg,,products,4595047,general-v1,"Bowers & Wilkins - 3"" 1-Way In-Ceiling Speakers (Pair) - Black",,
http://img.bbystatic.com/BestBuy_US/images/products/4595/4595051_sa.jpg,,products,4595051,general-v1,NBA 2K16 - PRE-OWNED - PlayStation 4,,
